Date,BTC_Open,BTC_High,BTC_Low,BTC_Close,ETH,Oil,S&P500,DJI,NASDAQ
2020/12/12,18051.32031,18919.55078,18046.04102,18803.65625,568.57,#N/A,#N/A,#N/A,#N/A
2020/12/13,18806.76563,19381.53516,18734.33203,19142.38281,589.66,#N/A,#N/A,#N/A,#N/A
2020/12/14,19144.49219,19305.09961,19012.70898,19246.64453,586.01,46.99,3647.49,29861.55,12440.04004
2020/12/15,19246.91992,19525.00781,19079.8418,19417.07617,589.36,47.62,3694.62,30199.31,12595.05957
2020/12/16,19418.81836,21458.9082,19298.31641,21310.59766,636.18,47.82,3701.17,30154.54,12658.19043
2020/12/17,21308.35156,23642.66016,21234.67578,22805.16211,642.87,48.36,3722.48,30303.37,12764.75
2020/12/18,22806.79688,23238.60156,22399.8125,23137.96094,654.81,49.1,3709.41,30179.05,12755.63965
2020/12/19,23132.86523,24085.85547,22826.47266,23869.83203,659.3,#N/A,#N/A,#N/A,#N/A
2020/12/20,23861.76563,24209.66016,23147.71094,23477.29492,638.29,#N/A,#N/A,#N/A,#N/A
2020/12/21,23474.45508,24059.98242,22159.36719,22803.08203,609.82,47.74,3694.92,30216.45,12742.51953
2020/12/22,22794.03906,23789.90234,22430.60547,23783.0293,634.85,47.02,3687.26,30015.51,12807.91992
2020/12/23,23781.97461,24024.49023,22802.64648,23241.3457,583.71,48.12,3690.01,30129.83,12771.11035
2020/12/24,23240.20313,23768.33789,22777.59766,23735.94922,611.61,48.23,3703.06,30199.87,12804.73047
2020/12/25,23733.57031,24710.10156,23463.67383,24664.79102,626.41,#N/A,#N/A,#N/A,#N/A
2020/12/26,24677.01563,26718.07031,24522.68945,26437.03711,635.84,#N/A,#N/A,#N/A,#N/A
2020/12/27,26439.37305,28288.83984,25922.76953,26272.29492,682.64,#N/A,#N/A,#N/A,#N/A
2020/12/28,26280.82227,27389.11133,26207.64063,27084.80859,730.4,47.62,3735.36,30403.97,12899.41992
2020/12/29,27081.81055,27370.7207,25987.29883,27362.4375,731.52,48,3727.04,30335.67,12850.21973
2020/12/30,27360.08984,28937.74023,27360.08984,28840.95313,751.62,48.4,3732.04,30409.56,12870
2020/12/31,28841.57422,29244.87695,28201.99219,29001.7207,737.8,48.52,3756.07,30606.48,12888.28027
2021/1/1,28994.00977,29600.62695,28803.58594,29374.15234,730.37,#N/A,#N/A,#N/A,#N/A
2021/1/2,29376.45508,33155.11719,29091.18164,32127.26758,774.53,#N/A,#N/A,#N/A,#N/A
2021/1/3,32129.4082,34608.55859,32052.31641,32782.02344,975.51,#N/A,#N/A,#N/A,#N/A
2021/1/4,32810.94922,33440.21875,28722.75586,31971.91406,1040.23,47.62,3700.65,30223.89,12698.4502
2021/1/5,31977.04102,34437.58984,30221.1875,33992.42969,1100.01,49.93,3726.86,30391.6,12818.95996
2021/1/6,34013.61328,36879.69922,33514.03516,36824.36328,1207.11,50.63,3748.14,30829.4,12740.79004
2021/1/7,36833.875,40180.36719,36491.19141,39371.04297,1225.68,50.83,3803.79,31041.13,13067.48047
